Sex,Team,NOC,Games,Year,Season,City,Sport,Medal
M,Denmark/Sweden,DEN,1900 Summer,1900,Summer,Paris,Tug-Of-War,Gold
M,Finland,FIN,1920 Summer,1920,Summer,Antwerpen,Swimming,Bronze
M,Finland,FIN,1920 Summer,1920,Summer,Antwerpen,Swimming,Bronze
M,Finland,FIN,1948 Summer,1948,Summer,London,Gymnastics,Bronze
M,Finland,FIN,1948 Summer,1948,Summer,London,Gymnastics,Gold
M,Finland,FIN,1948 Summer,1948,Summer,London,Gymnastics,Gold
M,Finland,FIN,1948 Summer,1948,Summer,London,Gymnastics,Gold
M,Finland,FIN,1952 Summer,1952,Summer,Helsinki,Gymnastics,Bronze
M,Norway,NOR,1992 Winter,1992,Winter,Albertville,Alpine Skiing,Gold
M,Norway,NOR,1992 Winter,1992,Winter,Albertville,Alpine Skiing,Bronze
M,Norway,NOR,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing,Silver
M,Norway,NOR,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing,Bronze
M,Norway,NOR,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing,Silver
M,Norway,NOR,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing,Gold
M,Norway,NOR,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing,Gold
M,Norway,NOR,2006 Winter,2006,Winter,Torino,Alpine Skiing,Gold
F,Norway,NOR,2008 Summer,2008,Summer,Beijing,Handball,Gold
M,Norway,NOR,1920 Summer,1920,Summer,Antwerpen,Gymnastics,Silver
F,Netherlands,NED,1988 Summer,1988,Summer,Seoul,Hockey,Bronze
M,Netherlands,NED,1996 Summer,1996,Summer,Atlanta,Rowing,Silver
F,Norway,NOR,1996 Summer,1996,Summer,Atlanta,Football,Bronze
M,Norway,NOR,1920 Summer,1920,Summer,Antwerpen,Gymnastics,Silver
M,Norway,NOR,1952 Winter,1952,Winter,Oslo,Speed Skating,Bronze
M,Norway,NOR,1960 Winter,1960,Winter,Squaw Valley,Speed Skating,Gold
M,Taifun,NOR,1912 Summer,1912,Summer,Stockholm,Sailing,Gold
M,France,FRA,1956 Summer,1956,Summer,Melbourne,Cycling,Gold
M,Spain,ESP,2008 Summer,2008,Summer,Beijing,Fencing,Bronze
F,Russia,RUS,2008 Summer,2008,Summer,Beijing,Athletics,Silver
M,Belarus,BLR,2008 Summer,2008,Summer,Beijing,Canoeing,Gold
M,France,FRA,2008 Summer,2008,Summer,Beijing,Handball,Gold
M,France,FRA,2012 Summer,2012,Summer,London,Handball,Gold
M,Cameroon,CMR,2000 Summer,2000,Summer,Sydney,Football,Gold
M,Spain,ESP,1996 Summer,1996,Summer,Atlanta,Water Polo,Gold
M,United States,USA,2004 Summer,2004,Summer,Athina,Wrestling,Silver
M,Spain,ESP,1980 Summer,1980,Summer,Moskva,Sailing,Gold
M,Spain,ESP,1984 Summer,1984,Summer,Los Angeles,Athletics,Bronze
F,Russia,RUS,2004 Summer,2004,Summer,Athina,Cycling,Silver
M,France,FRA,2008 Summer,2008,Summer,Beijing,Handball,Gold
M,Hungary,HUN,1992 Summer,1992,Summer,Barcelona,Fencing,Silver
M,Hungary,HUN,1936 Summer,1936,Summer,Berlin,Swimming,Bronze
M,Italy,ITA,1936 Summer,1936,Summer,Berlin,Modern Pentathlon,Bronze
M,Italy,ITA,1988 Summer,1988,Summer,Seoul,Rowing,Gold
M,Italy,ITA,1996 Summer,1996,Summer,Atlanta,Rowing,Gold
M,Italy,ITA,2000 Summer,2000,Summer,Sydney,Rowing,Gold
M,Italy,ITA,1984 Summer,1984,Summer,Los Angeles,Rowing,Gold
M,Italy,ITA,1988 Summer,1988,Summer,Seoul,Rowing,Gold
M,Italy,ITA,1992 Summer,1992,Summer,Barcelona,Rowing,Silver
M,Italy,ITA,1984 Summer,1984,Summer,Los Angeles,Rowing,Gold
M,Italy,ITA,1988 Summer,1988,Summer,Seoul,Rowing,Gold
M,Italy,ITA,1992 Summer,1992,Summer,Barcelona,Rowing,Silver
M,Thessalonki-1,GRE,1906 Summer,1906,Summer,Athina,Football,Bronze
M,Australia,AUS,2008 Summer,2008,Summer,Beijing,Hockey,Bronze
F,United States,USA,1900 Summer,1900,Summer,Paris,Golf,Gold
F,United States,USA,2008 Summer,2008,Summer,Beijing,Softball,Silver
F,United States,USA,2004 Summer,2004,Summer,Athina,Taekwondo,Silver
F,Canada,CAN,1984 Summer,1984,Summer,Los Angeles,Swimming,Bronze
M,Pakistan,PAK,1960 Summer,1960,Summer,Roma,Hockey,Gold
M,Pakistan,PAK,1964 Summer,1964,Summer,Tokyo,Hockey,Silver
M,Soviet Union,URS,1972 Summer,1972,Summer,Munich,Wrestling,Gold
M,Uzbekistan,UZB,2000 Summer,2000,Summer,Sydney,Boxing,Gold
M,Azerbaijan,AZE,1996 Summer,1996,Summer,Atlanta,Wrestling,Silver
M,Azerbaijan,AZE,2000 Summer,2000,Summer,Sydney,Wrestling,Gold
M,United States,USA,2000 Summer,2000,Summer,Sydney,Basketball,Gold
M,Tajikistan,TJK,2008 Summer,2008,Summer,Beijing,Wrestling,Silver
M,Unified Team,EUN,1992 Summer,1992,Summer,Barcelona,Athletics,Gold
M,Japan,JPN,1994 Winter,1994,Winter,Lillehammer,Nordic Combined,Gold
M,Ethiopia,ETH,1992 Summer,1992,Summer,Barcelona,Athletics,Bronze
M,Switzerland,SUI,1924 Summer,1924,Summer,Paris,Football,Silver
M,United States,USA,1924 Winter,1924,Winter,Chamonix,Ice Hockey,Silver
M,Canada,CAN,1952 Winter,1952,Winter,Oslo,Ice Hockey,Gold
F,East Germany,GDR,1972 Summer,1972,Summer,Munich,Gymnastics,Silver
F,Canada,CAN,2012 Summer,2012,Summer,London,Diving,Bronze
M,Fornebo,NOR,1920 Summer,1920,Summer,Antwerpen,Sailing,Silver
M,Spain,ESP,1992 Summer,1992,Summer,Barcelona,Football,Gold
M,Vesper Boat Club,USA,1900 Summer,1900,Summer,Paris,Rowing,Gold
M,Vesper Boat Club,USA,1904 Summer,1904,Summer,St. Louis,Rowing,Gold
M,Ethiopia,ETH,2000 Summer,2000,Summer,Sydney,Athletics,Gold
M,Sweden,SWE,1912 Summer,1912,Summer,Stockholm,Athletics,Bronze
M,Sweden,SWE,1912 Summer,1912,Summer,Stockholm,Athletics,Silver
M,United States,USA,2000 Summer,2000,Summer,Sydney,Baseball,Gold
F,South Africa,RSA,1956 Summer,1956,Summer,Melbourne,Swimming,Bronze
F,Turkey,TUR,2008 Summer,2008,Summer,Beijing,Athletics,Silver
M,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Wrestling,Gold
M,United States,USA,1932 Summer,1932,Summer,Los Angeles,Athletics,Gold
M,Russia,RUS,2012 Summer,2012,Summer,London,Gymnastics,Bronze
M,Russia,RUS,2012 Summer,2012,Summer,London,Gymnastics,Silver
M,Soviet Union,URS,1972 Summer,1972,Summer,Munich,Swimming,Silver
M,Soviet Union,URS,1972 Summer,1972,Summer,Munich,Swimming,Bronze
M,Egypt,EGY,2012 Summer,2012,Summer,London,Fencing,Silver
M,Hungary,HUN,1988 Summer,1988,Summer,Seoul,Canoeing,Bronze
M,Hungary,HUN,1988 Summer,1988,Summer,Seoul,Canoeing,Gold
M,Hungary,HUN,1992 Summer,1992,Summer,Barcelona,Canoeing,Silver
M,Great Britain,GBR,1980 Summer,1980,Summer,Moskva,Swimming,Bronze
M,Sweden,SWE,2004 Summer,2004,Summer,Athina,Wrestling,Silver
M,Great Britain,GBR,1924 Summer,1924,Summer,Paris,Athletics,Gold
M,Great Britain,GBR,1924 Summer,1924,Summer,Paris,Athletics,Silver
M,Norway,NOR,1912 Summer,1912,Summer,Stockholm,Gymnastics,Gold
M,Sweden,SWE,1920 Summer,1920,Summer,Antwerpen,Athletics,Bronze
M,Sweden,SWE,1928 Winter,1928,Winter,Sankt Moritz,Ice Hockey,Silver
M,Russia,RUS,2004 Summer,2004,Summer,Athina,Volleyball,Bronze
F,Soviet Union,URS,1964 Summer,1964,Summer,Tokyo,Volleyball,Silver
F,Russia,RUS,2006 Winter,2006,Winter,Torino,Speed Skating,Bronze
F,Russia,RUS,2008 Summer,2008,Summer,Beijing,Basketball,Bronze
M,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Wrestling,Gold
M,France,FRA,2004 Summer,2004,Summer,Athina,Cycling,Gold
M,France,FRA,2008 Summer,2008,Summer,Beijing,Cycling,Gold
F,Japan,JPN,1964 Summer,1964,Summer,Tokyo,Gymnastics,Bronze
M,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Fencing,Bronze
M,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Wrestling,Gold
F,Romania,ROU,2008 Summer,2008,Summer,Beijing,Gymnastics,Bronze
M,France,FRA,2012 Summer,2012,Summer,London,Handball,Gold
M,Switzerland,SUI,1988 Winter,1988,Winter,Calgary,Alpine Skiing,Bronze
M,Spain,ESP,1920 Summer,1920,Summer,Antwerpen,Football,Silver
M,Puerto Rico,PUR,1992 Summer,1992,Summer,Barcelona,Boxing,Bronze
M,Mexico,MEX,1984 Summer,1984,Summer,Los Angeles,Wrestling,Silver
M,Ghana,GHA,1992 Summer,1992,Summer,Barcelona,Football,Bronze
M,Switzerland,SUI,1984 Summer,1984,Summer,Los Angeles,Cycling,Silver
M,Morocco,MAR,1988 Summer,1988,Summer,Seoul,Boxing,Bronze
M,Morocco,MAR,1992 Summer,1992,Summer,Barcelona,Boxing,Bronze
F,Soviet Union,URS,1968 Winter,1968,Winter,Grenoble,Cross Country Skiing,Bronze
F,Netherlands,NED,2012 Summer,2012,Summer,London,Rowing,Bronze
M,Sweden,SWE,1920 Summer,1920,Summer,Antwerpen,Gymnastics,Gold
M,New Zealand,NZL,1976 Summer,1976,Summer,Montreal,Hockey,Gold
M,United States,USA,1920 Summer,1920,Summer,Antwerpen,Wrestling,Gold
M,Germany,GER,2002 Winter,2002,Winter,Salt Lake City,Nordic Combined,Silver
M,Germany,GER,2002 Winter,2002,Winter,Salt Lake City,Nordic Combined,Silver
M,Germany,GER,2006 Winter,2006,Winter,Torino,Nordic Combined,Silver
M,Switzerland-1,SUI,1992 Winter,1992,Winter,Albertville,Bobsleigh,Gold
M,Switzerland-1,SUI,1992 Winter,1992,Winter,Albertville,Bobsleigh,Bronze
M,Switzerland-1,SUI,1994 Winter,1994,Winter,Lillehammer,Bobsleigh,Gold
M,Switzerland-1,SUI,1994 Winter,1994,Winter,Lillehammer,Bobsleigh,Silver
M,Switzerland-2,SUI,1994 Winter,1994,Winter,Lillehammer,Bobsleigh,Silver
M,Argentina,ARG,2008 Summer,2008,Summer,Beijing,Football,Gold
M,Cuba,CUB,2008 Summer,2008,Summer,Beijing,Boxing,Bronze
M,Uruguay,URU,1952 Summer,1952,Summer,Helsinki,Basketball,Bronze
M,Poland,POL,1980 Summer,1980,Summer,Moskva,Boxing,Bronze
M,United States,USA,1936 Summer,1936,Summer,Berlin,Rowing,Gold
M,Czechoslovakia,TCH,1976 Summer,1976,Summer,Montreal,Modern Pentathlon,Silver
M,Canada,CAN,2006 Winter,2006,Winter,Torino,Curling,Gold
M,Germany,GER,1936 Summer,1936,Summer,Berlin,Fencing,Bronze
M,France,FRA,1948 Summer,1948,Summer,London,Cycling,Gold
M,Poland,POL,1992 Summer,1992,Summer,Barcelona,Football,Silver
M,United States,USA,1912 Summer,1912,Summer,Stockholm,Athletics,Silver
M,United States,USA,1912 Summer,1912,Summer,Stockholm,Athletics,Bronze
M,United States,USA,1904 Summer,1904,Summer,St. Louis,Swimming,Silver
M,United States,USA,1912 Summer,1912,Summer,Stockholm,Shooting,Gold
M,Great Britain,GBR,1980 Summer,1980,Summer,Moskva,Judo,Silver
M,Great Britain,GBR,1984 Summer,1984,Summer,Los Angeles,Judo,Silver
F,Great Britain,GBR,2012 Summer,2012,Summer,London,Boxing,Gold
M,United States,USA,1912 Summer,1912,Summer,Stockholm,Athletics,Gold
M,United States,USA,1912 Summer,1912,Summer,Stockholm,Athletics,Silver
F,New Zealand,NZL,2008 Summer,2008,Summer,Beijing,Athletics,Gold
F,New Zealand,NZL,2012 Summer,2012,Summer,London,Athletics,Gold
M,Germany,GER,2012 Summer,2012,Summer,London,Rowing,Gold
M,Germany,GER,1936 Summer,1936,Summer,Berlin,Rowing,Gold
M,Poland,POL,1960 Summer,1960,Summer,Roma,Boxing,Silver
M,Ghana,GHA,1992 Summer,1992,Summer,Barcelona,Football,Bronze
M,Switzerland,SUI,1920 Summer,1920,Summer,Antwerpen,Shooting,Bronze
M,Nigeria,NGR,2008 Summer,2008,Summer,Beijing,Football,Silver
M,Nigeria,NGR,2008 Summer,2008,Summer,Beijing,Football,Silver
M,Brazil,BRA,1984 Summer,1984,Summer,Los Angeles,Football,Silver
M,Brazil,BRA,1988 Summer,1988,Summer,Seoul,Football,Silver
M,Nigeria,NGR,1992 Summer,1992,Summer,Barcelona,Athletics,Silver
F,Brazil,BRA,2012 Summer,2012,Summer,London,Volleyball,Gold
M,France-1,FRA,1992 Summer,1992,Summer,Barcelona,Canoeing,Bronze
M,France-1,FRA,1996 Summer,1996,Summer,Atlanta,Canoeing,Gold
M,Germany-2,GER,2010 Winter,2010,Winter,Vancouver,Bobsleigh,Silver
M,Ghana,GHA,1992 Summer,1992,Summer,Barcelona,Football,Bronze
M,United States,USA,1952 Summer,1952,Summer,Helsinki,Boxing,Gold
M,United States,USA,1996 Summer,1996,Summer,Atlanta,Athletics,Gold
M,Great Britain,GBR,1948 Summer,1948,Summer,London,Hockey,Silver
M,Brazil,BRA,1984 Summer,1984,Summer,Los Angeles,Sailing,Silver
M,Germany,GER,1960 Summer,1960,Summer,Roma,Cycling,Silver
F,Austria,AUT,1912 Summer,1912,Summer,Stockholm,Swimming,Bronze
M,Sweden,SWE,1936 Summer,1936,Summer,Berlin,Equestrianism,Bronze
M,Sweden,SWE,1912 Summer,1912,Summer,Stockholm,Equestrianism,Gold
F,Sweden,SWE,1908 Summer,1908,Summer,London,Tennis,Bronze
M,Sweden,SWE,1912 Summer,1912,Summer,Stockholm,Diving,Gold
M,Sweden,SWE,1912 Summer,1912,Summer,Stockholm,Diving,Gold
M,Sweden,SWE,1920 Summer,1920,Summer,Antwerpen,Diving,Silver
F,Great Britain,GBR,2008 Summer,2008,Summer,Beijing,Swimming,Gold
F,Great Britain,GBR,2008 Summer,2008,Summer,Beijing,Swimming,Gold
F,Great Britain,GBR,2012 Summer,2012,Summer,London,Swimming,Bronze
F,Great Britain,GBR,2012 Summer,2012,Summer,London,Swimming,Bronze
M,Lithuania,LTU,2000 Summer,2000,Summer,Sydney,Basketball,Bronze
M,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Gold
M,United States,USA,2012 Summer,2012,Summer,London,Swimming,Gold
M,United States,USA,2012 Summer,2012,Summer,London,Swimming,Silver
