region,NOC,City,Year,Latitude,Longitude,AverageTemperature
Afghanistan,AFG,Kabul,1896,34.56,70.05,14.573749999999999
Afghanistan,AFG,Kabul,1897,34.56,70.05,13.692833333333335
Afghanistan,AFG,Kabul,1898,34.56,70.05,13.885833333333336
Afghanistan,AFG,Kabul,1899,34.56,70.05,14.69
Afghanistan,AFG,Kabul,1900,34.56,70.05,14.111416666666665
Afghanistan,AFG,Kabul,1901,34.56,70.05,14.11475
Afghanistan,AFG,Kabul,1902,34.56,70.05,14.682916666666669
Afghanistan,AFG,Kabul,1903,34.56,70.05,13.345
Afghanistan,AFG,Kabul,1904,34.56,70.05,14.177750000000001
Afghanistan,AFG,Kabul,1905,34.56,70.05,13.607666666666669
Afghanistan,AFG,Kabul,1906,34.56,70.05,14.170166666666669
Afghanistan,AFG,Kabul,1907,34.56,70.05,13.661416666666668
Afghanistan,AFG,Kabul,1908,34.56,70.05,13.929499999999999
Afghanistan,AFG,Kabul,1909,34.56,70.05,14.076333333333336
Afghanistan,AFG,Kabul,1910,34.56,70.05,13.500416666666666
Afghanistan,AFG,Kabul,1911,34.56,70.05,13.946
Afghanistan,AFG,Kabul,1912,34.56,70.05,14.246333333333334
Afghanistan,AFG,Kabul,1913,34.56,70.05,14.036666666666664
Afghanistan,AFG,Kabul,1914,34.56,70.05,14.288166666666667
Afghanistan,AFG,Kabul,1915,34.56,70.05,15.222500000000002
Afghanistan,AFG,Kabul,1916,34.56,70.05,13.955999999999998
Afghanistan,AFG,Kabul,1917,34.56,70.05,14.124333333333334
Afghanistan,AFG,Kabul,1918,34.56,70.05,14.045250000000001
Afghanistan,AFG,Kabul,1919,34.56,70.05,14.105666666666666
Afghanistan,AFG,Kabul,1920,34.56,70.05,13.550666666666666
Afghanistan,AFG,Kabul,1921,34.56,70.05,14.796166666666666
Afghanistan,AFG,Kabul,1922,34.56,70.05,14.474000000000002
Afghanistan,AFG,Kabul,1923,34.56,70.05,13.741166666666667
Afghanistan,AFG,Kabul,1924,34.56,70.05,13.82875
Afghanistan,AFG,Kabul,1925,34.56,70.05,14.07416666666667
Afghanistan,AFG,Kabul,1926,34.56,70.05,13.913833333333331
Afghanistan,AFG,Kabul,1927,34.56,70.05,14.070333333333336
Afghanistan,AFG,Kabul,1928,34.56,70.05,14.032583333333333
Afghanistan,AFG,Kabul,1929,34.56,70.05,13.882666666666667
Afghanistan,AFG,Kabul,1930,34.56,70.05,13.719083333333336
Afghanistan,AFG,Kabul,1931,34.56,70.05,13.887166666666664
Afghanistan,AFG,Kabul,1932,34.56,70.05,14.420250000000001
Afghanistan,AFG,Kabul,1933,34.56,70.05,14.11425
Afghanistan,AFG,Kabul,1934,34.56,70.05,13.891583333333331
