NOC,Bronze,Silver,Gold
AFG,2,0,0
ALG,8,4,5
ANZ,5,4,20
ARG,91,92,91
ARM,9,5,2
AUS,517,455,348
AUT,156,186,108
AZE,25,12,7
BAH,15,11,14
BAR,1,0,0
BEL,173,197,98
BER,1,0,0
BLR,71,44,24
BOH,11,1,0
BRA,191,175,109
BRN,1,1,1
BUL,144,144,54
CAN,451,438,463
CHI,20,9,3
CHN,292,347,350
CIV,1,1,1
CMR,1,1,20
COL,14,9,5
CRC,2,1,1
CRO,37,54,58
CUB,116,129,164
CZE,66,36,42
DEN,177,241,179
DJI,1,0,0
DOM,2,2,3
EGY,12,8,7
ERI,1,0,0
ESP,136,243,110
EST,25,12,13
ETH,22,9,22
EUN,81,71,127
FIN,432,270,198
FRA,666,610,501
FRG,233,194,159
GBR,651,739,678
GDR,281,327,397
GEO,18,6,8
GER,746,674,745
GHA,22,1,0
GRE,84,109,62
GUY,1,0,0
HAI,5,1,1
HKG,1,2,1
HUN,371,332,432
INA,13,17,11
IND,40,19,138
IOA,3,1,1
IRI,29,21,18
IRL,13,13,9
IRQ,1,0,0
ISL,2,15,0
ISR,7,1,1
ITA,531,531,575
JAM,44,75,38
JPN,357,309,247
KAZ,32,25,20
KEN,31,41,34
KGZ,2,1,0
KOR,185,232,221
KSA,5,1,0
KUW,2,0,0
LAT,13,19,3
LIB,2,2,0
LIE,5,2,2
LTU,48,7,6
MAR,12,5,6
MAS,5,11,0
MDA,5,3,0
MEX,54,26,30
MGL,14,10,2
MKD,1,0,0
MON,1,0,0
MOZ,1,0,1
MRI,1,0,0
NED,413,340,287
NGR,46,30,23
NIG,1,1,0
NOR,294,361,378
NZL,82,56,90
PAK,34,45,42
PAN,2,0,1
PHI,7,3,0
POL,253,195,117
POR,26,11,4
PRK,35,16,16
PUR,6,2,1
QAT,4,1,0
ROU,292,200,161
RSA,52,47,32
RUS,408,367,390
SCG,26,26,12
SGP,4,4,1
SLO,27,13,8
SRB,41,29,15
SUI,268,248,175
SUR,1,0,1
SVK,13,19,15
SWE,535,522,479
SYR,1,1,1
TCH,182,225,81
THA,13,8,9
TJK,2,1,1
TOG,1,0,0
TPE,18,28,3
TTO,17,8,7
TUN,7,3,3
TUR,28,27,40
UAE,1,0,1
UAR,1,1,0
UGA,2,3,2
UKR,100,52,47
URS,689,732,1082
URU,30,2,31
USA,1358,1641,2638
UZB,17,7,10
VEN,10,3,2
WIF,5,0,0
YUG,93,167,130
ZAM,1,1,0
ZIM,1,4,17
