Country,Year,NOC,AverageTemperature
Afghanistan,1896,AFG,14.09875
Afghanistan,1897,AFG,13.549750000000001
Afghanistan,1898,AFG,13.461583333333332
Afghanistan,1899,AFG,14.39583333333333
Afghanistan,1900,AFG,13.749333333333334
Afghanistan,1901,AFG,13.894
Afghanistan,1902,AFG,14.505833333333333
Afghanistan,1903,AFG,12.986416666666665
Afghanistan,1904,AFG,13.805749999999998
Afghanistan,1905,AFG,13.385666666666667
Afghanistan,1906,AFG,13.884916666666667
Afghanistan,1907,AFG,13.352916666666665
Afghanistan,1908,AFG,13.699166666666668
Afghanistan,1909,AFG,13.925416666666669
Afghanistan,1910,AFG,13.216499999999998
Afghanistan,1911,AFG,13.384999999999998
Afghanistan,1912,AFG,13.902666666666667
Afghanistan,1913,AFG,13.859250000000001
Afghanistan,1914,AFG,14.296833333333332
Afghanistan,1915,AFG,14.914583333333333
Afghanistan,1916,AFG,13.342999999999996
Afghanistan,1917,AFG,13.916500000000005
Afghanistan,1918,AFG,13.483250000000004
Afghanistan,1919,AFG,13.880916666666666
Afghanistan,1920,AFG,13.036499999999998
Afghanistan,1921,AFG,14.171583333333336
Afghanistan,1922,AFG,14.255499999999998
Afghanistan,1923,AFG,13.338916666666664
Afghanistan,1924,AFG,13.629000000000003
Afghanistan,1925,AFG,13.931750000000001
Afghanistan,1926,AFG,13.745333333333333
Afghanistan,1927,AFG,13.844583333333333
Afghanistan,1928,AFG,13.633000000000001
Afghanistan,1929,AFG,13.48175
Afghanistan,1930,AFG,13.330583333333337
Afghanistan,1931,AFG,13.447500000000003
Afghanistan,1932,AFG,13.664666666666669
Afghanistan,1933,AFG,13.882916666666668
Afghanistan,1934,AFG,13.341416666666666
Afghanistan,1935,AFG,13.29625
Afghanistan,1936,AFG,14.007416666666666
Afghanistan,1937,AFG,13.571583333333335
Afghanistan,1938,AFG,14.211250000000001
Afghanistan,1939,AFG,14.161916666666665
Afghanistan,1940,AFG,14.733999999999996
Afghanistan,1941,AFG,15.50275
Afghanistan,1942,AFG,14.451166666666666
Afghanistan,1943,AFG,13.707833333333332
Afghanistan,1944,AFG,14.291750000000002
Afghanistan,1945,AFG,13.86625
Afghanistan,1946,AFG,14.594666666666667
Afghanistan,1947,AFG,15.035083333333334
Afghanistan,1948,AFG,14.335250000000002
Afghanistan,1949,AFG,13.350083333333332
Afghanistan,1950,AFG,13.0435
Afghanistan,1951,AFG,13.96775
Afghanistan,1952,AFG,14.175416666666669
Afghanistan,1953,AFG,14.650750000000002
Afghanistan,1954,AFG,13.691333333333333
Afghanistan,1955,AFG,14.642583333333334
Afghanistan,1956,AFG,14.191083333333333
Afghanistan,1957,AFG,12.777166666666666
Afghanistan,1958,AFG,14.716749999999998
Afghanistan,1959,AFG,14.152583333333332
Afghanistan,1960,AFG,13.985416666666667
Afghanistan,1961,AFG,14.064916666666667
Afghanistan,1962,AFG,13.768666666666666
Afghanistan,1963,AFG,15.033416666666666
Afghanistan,1964,AFG,13.084916666666667
Afghanistan,1965,AFG,14.101833333333333
Afghanistan,1966,AFG,14.342999999999998
Afghanistan,1967,AFG,13.663250000000003
Afghanistan,1968,AFG,13.762333333333332
Afghanistan,1969,AFG,13.805083333333336
Afghanistan,1970,AFG,14.78308333333333
Afghanistan,1971,AFG,14.823500000000001
Afghanistan,1972,AFG,12.547166666666667
Afghanistan,1973,AFG,14.235500000000002
Afghanistan,1974,AFG,13.316749999999999
Afghanistan,1975,AFG,13.548083333333333
Afghanistan,1976,AFG,13.708583333333332
