Olympic,NOC,Bronze,Silver,Gold
Summer,AFG,2,0,0
Total,AFG,2,0,0
Summer,AHO,0,1,0
Total,AHO,0,1,0
Summer,ALG,8,2,5
Total,ALG,8,2,5
Summer,ANZ,5,4,20
Total,ANZ,5,4,20
Summer,ARG,91,91,70
Total,ARG,91,91,70
Summer,ARM,9,2,1
Total,ARM,9,2,1
Summer,AUS,485,418,319
Winter,AUS,6,1,6
Total,AUS,491,419,325
Summer,AUT,51,88,29
Winter,AUT,92,86,75
Total,AUT,143,174,104
Summer,AZE,15,5,6
Total,AZE,15,5,6
Summer,BAH,10,11,13
Total,BAH,10,11,13
Summer,BAR,1,0,0

Total,BAR,1,0,0
Summer,BDI,0,0,1
Total,BDI,0,0,1
Summer,BEL,164,176,94
Winter,BEL,7,4,2
Total,BEL,171,180,96
Summer,BER,1,0,0
Total,BER,1,0,0
Summer,BLR,59,36,17
Winter,BLR,4,4,1
Total,BLR,63,40,18
Summer,BOH,11,1,0
Total,BOH,11,1,0
Summer,BOT,0,1,0
Total,BOT,0,1,0
Summer,BRA,185,167,73
Total,BRA,185,167,73
Summer,BRN,1,0,0
Total,BRN,1,0,0
Summer,BUL,135,141,53
Winter,BUL,3,2,1
Total,BUL,138,143,54
Summer,CAN,283,235,154
Winter,CAN,102,177,246
Total,CAN,385,412,400
Summer,CHI,20,9,3
Total,CHI,20,9,3
Summer,CHN,221,287,288
Winter,CHN,29,26,13
Total,CHN,250,313,301
Summer,CIV,0,1,0
Total,CIV,0,1,0
Summer,CMR,1,1,20
Total,CMR,1,1,20
Summer,COL,11,7,2
Total,COL,11,7,2
Summer,CRC,2,1,1
Total,CRC,2,1,1
Summer,CRO,34,33,47
Winter,CRO,1,5,4
Total,CRO,35,38,51
Summer,CUB,112,127,159
Total,CUB,112,127,159
Summer,CYP,0,1,0
Total,CYP,0,1,0
Summer,CZE,20,22,14
Winter,CZE,32,5,25
Total,CZE,52,27,39
Summer,DEN,161,226,164
Winter,DEN,0,5,0
Total,DEN,161,231,164
Summer,DJI,1,0,0
Total,DJI,1,0,0
Summer,DOM,1,2,3
Total,DOM,1,2,3
Summer,ECU,0,1,1
Total,ECU,0,1,1
Summer,EGY,9,8,7
Total,EGY,9,8,7
Summer,ERI,1,0,0
Total,ERI,1,0,0
Summer,ESP,118,224,100
Winter,ESP,1,0,1
Total,ESP,119,224,101
Summer,EST,20,10,9
Winter,EST,1,2,4
Total,EST,21,12,13
Summer,ETH,17,7,21
Total,ETH,17,7,21
Summer,EUN,67,61,92
Winter,EUN,14,10,35
Total,EUN,81,71,127
Summer,FIN,216,125,132
Winter,FIN,191,138,64
Total,FIN,407,263,196
Summer,FRA,566,520,445
Winter,FRA,69,31,32
Total,FRA,635,551,477
Summer,FRG,188,172,144
Winter,FRG,45,22,15
Total,FRG,233,194,159
Summer,GAB,0,1,0
Total,GAB,0,1,0
Summer,GBR,594,674,572
Winter,GBR,26,6,41
Total,GBR,620,680,613
Summer,GDR,227,277,339
Winter,GDR,54,50,58
Total,GDR,281,327,397
Summer,GEO,14,5,6
Total,GEO,14,5,6
Summer,GER,582,495,543
Winter,GER,88,124,138
Total,GER,670,619,681
Summer,GHA,22,1,0
Total,GHA,22,1,0
Summer,GRE,81,108,59
Total,GRE,81,108,59
Summer,GRN,0,0,1
Total,GRN,0,0,1
Summer,GUA,0,1,0
Total,GUA,0,1,0
Summer,GUY,1,0,0
Total,GUY,1,0,0
Summer,HAI,5,1,1
Total,HAI,5,1,1
Summer,HKG,1,2,1
Total,HKG,1,2,1
Summer,HUN,356,325,420
Winter,HUN,8,4,0
Total,HUN,364,329,420
Summer,INA,13,15,9
Total,INA,13,15,9
Summer,IND,39,18,131
Winter,IND,0,0,7
Total,IND,39,18,138
Summer,IOA,2,1,0
Total,IOA,2,1,0
Summer,IRI,25,20,15
Total,IRI,25,20,15
Summer,IRL,13,10,9
Total,IRL,13,10,9
Summer,IRQ,1,0,0
Total,IRQ,1,0,0
Summer,ISL,2,15,0
Total,ISL,2,15,0
Summer,ISR,5,1,1
Total,ISR,5,1,1
Summer,ISV,0,1,0
Total,ISV,0,1,0
Summer,ITA,430,434,510
Winter,ITA,65,55,57
Total,ITA,495,489,567
Summer,JAM,42,58,27
Total,JAM,42,58,27
Summer,JPN,299,274,213
Winter,JPN,18,18,16
Total,JPN,317,292,229
Summer,KAZ,19,17,16
Winter,KAZ,2,3,1
Total,KAZ,21,20,17
Summer,KEN,30,35,28
Total,KEN,30,35,28
Summer,KGZ,2,1,0
Total,KGZ,2,1,0
Summer,KOR,165,203,158
Winter,KOR,8,21,43
Total,KOR,173,224,201
Summer,KSA,5,1,0
Total,KSA,5,1,0
Summer,KUW,2,0,0
Total,KUW,2,0,0
Summer,LAT,6,11,3
Winter,LAT,1,3,0
Total,LAT,7,14,3
Summer,LIB,2,2,0
Total,LIB,2,2,0
Winter,LIE,5,2,2
Total,LIE,5,2,2
Summer,LTU,43,5,6
Total,LTU,43,5,6
Summer,LUX,0,2,4
Winter,LUX,0,2,0
Total,LUX,0,4,4
Summer,MAR,11,5,6
Total,MAR,11,5,6
Summer,MAS,4,4,0
Total,MAS,4,4,0
Summer,MDA,5,3,0
Total,MDA,5,3,0
Summer,MEX,52,23,30
Total,MEX,52,23,30
Summer,MGL,13,9,2
Total,MGL,13,9,2
Summer,MKD,1,0,0
Total,MKD,1,0,0
Summer,MNE,0,14,0
Total,MNE,0,14,0
Summer,MON,1,0,0
Total,MON,1,0,0
Summer,MOZ,1,0,1
Total,MOZ,1,0,1
Summer,MRI,1,0,0
Total,MRI,1,0,0
Summer,NAM,0,4,0
Total,NAM,0,4,0
Summer,NED,358,277,236
Winter,NED,33,31,29
Total,NED,391,308,265
Winter,NEP,0,0,1
Total,NEP,0,0,1
Summer,NGR,28,30,23
Total,NGR,28,30,23
Summer,NIG,1,0,0
Total,NIG,1,0,0
Summer,NOR,148,196,227
Winter,NOR,114,160,133
Total,NOR,262,356,360
Summer,NZL,77,30,84
Winter,NZL,0,1,0
Total,NZL,77,31,84
Summer,PAK,34,45,42
Total,PAK,34,45,42
Summer,PAN,2,0,1
Total,PAN,2,0,1
Summer,PAR,0,17,0
Total,PAR,0,17,0
Summer,PER,0,14,1
Total,PER,0,14,1
Summer,PHI,7,2,0
Total,PHI,7,2,0
Summer,POL,232,182,108
Winter,POL,8,6,2
Total,POL,240,188,110
Summer,POR,25,11,4
Total,POR,25,11,4
Summer,PRK,32,12,14
Winter,PRK,1,1,0
Total,PRK,33,13,14
Summer,PUR,6,2,0
Total,PUR,6,2,0
Summer,QAT,4,0,0
Total,QAT,4,0,0
Summer,ROU,280,198,157
Winter,ROU,2,0,0
Total,ROU,282,198,157
Summer,RSA,38,40,30
Total,RSA,38,40,30
Summer,RUS,296,250,244
Winter,RUS,64,67,61
Total,RUS,360,317,305
Summer,SCG,26,26,12
Total,SCG,26,26,12
Summer,SEN,0,1,0
Total,SEN,0,1,0
Summer,SGP,4,4,0
Total,SGP,4,4,0
Summer,SLO,14,7,5
Winter,SLO,8,2,0
Total,SLO,22,9,5
Summer,SRB,28,2,1
Total,SRB,28,2,1
Summer,SRI,0,2,0
Total,SRI,0,2,0
Summer,SUD,0,1,0
Total,SUD,0,1,0
Summer,SUI,137,175,93
Winter,SUI,109,66,70
Total,SUI,246,241,163
Summer,SUR,1,0,1
Total,SUR,1,0,1
Summer,SVK,12,12,10
Winter,SVK,1,2,1
Total,SVK,13,14,11
Summer,SWE,355,373,352
Winter,SWE,166,94,117
Total,SWE,521,467,469
Summer,SYR,1,1,1
Total,SYR,1,1,1
Summer,TAN,0,2,0
Total,TAN,0,2,0
Summer,TCH,107,144,79
Winter,TCH,75,81,2
Total,TCH,182,225,81
Summer,TGA,0,1,0
Total,TGA,0,1,0
Summer,THA,11,6,7
Total,THA,11,6,7
Summer,TJK,2,1,0
Total,TJK,2,1,0
Summer,TOG,1,0,0
Total,TOG,1,0,0
Summer,TPE,14,28,2
Total,TPE,14,28,2
Summer,TTO,16,8,7
Total,TTO,16,8,7
Summer,TUN,4,3,3
Total,TUN,4,3,3
Summer,TUR,24,24,39
Total,TUR,24,24,39
Summer,UAE,0,0,1
Total,UAE,0,0,1
Summer,UAR,1,1,0
Total,UAR,1,1,0
Summer,UGA,2,3,2
Total,UGA,2,3,2
Summer,UKR,90,43,40
Winter,UKR,4,1,1
Total,UKR,94,44,41
Summer,URS,596,635,832
Winter,URS,93,97,250
Total,URS,689,732,1082
Summer,URU,30,2,31
Total,URU,30,2,31
Summer,USA,1126,1279,2333
Winter,USA,137,278,156
Total,USA,1263,1557,2489
Summer,UZB,10,5,5
Winter,UZB,0,0,1
Total,UZB,10,5,6
Summer,VEN,8,2,2
Total,VEN,8,2,2
Summer,VIE,0,2,0
Total,VIE,0,2,0
Summer,WIF,5,0,0
Total,WIF,5,0,0
Summer,YUG,92,161,130
Winter,YUG,1,6,0
Total,YUG,93,167,130
Summer,ZAM,1,1,0
Total,ZAM,1,1,0
Summer,ZIM,1,4,17
Total,ZIM,1,4,17
